,Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
2163,Jonathan Isaac,Florida State,32.0,32.0,26.2,4.1,8.0,0.508,3.1,5.2,0.593,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,8.87
2164,Wesley Iwundu,Kansas State,132.0,123.0,28.2,3.2,6.9,0.46299999999999997,2.8,5.8,0.488,0.4,1.1,0.33799999999999997,2.6,3.8,0.688,1.2,3.5,4.7,2.8,0.9,0.4,2.1,2.1,9.5,9.51
2165,Aaron Jackson,Duquesne,120.0,101.0,31.6,4.4,8.4,0.521,3.5,5.8,0.599,0.9,2.5,0.342,2.3,3.0,0.772,1.6,2.9,4.5,4.2,1.4,0.1,2.3,2.1,11.9,1.48
2169,Omari Johnson,Oregon State,120.0,66.0,20.8,2.4,5.7,0.418,1.7,3.3,0.508,0.7,2.4,0.293,0.9,1.5,0.6,1.3,2.7,4.0,0.7,0.6,0.3,1.3,1.4,6.4,6.43
2171,Luke Kennard,Duke,73.0,47.0,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2.0,5.1,0.38299999999999995,3.4,3.9,0.867,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7,10.75
2172,Luke Kornet,Vanderbilt,128.0,76.0,24.1,3.0,7.2,0.41700000000000004,1.8,3.5,0.519,1.2,3.7,0.32,1.7,2.2,0.779,1.2,3.6,4.8,1.1,0.4,1.6,1.1,2.0,8.9,8.03
2173,Kyle Kuzma,Utah,96.0,64.0,21.0,3.9,7.7,0.506,3.3,5.9,0.5670000000000001,0.5,1.8,0.302,1.8,2.8,0.633,1.6,3.9,5.5,1.5,0.3,0.4,1.6,1.6,10.1,6.84
2175,Tyler Lydon,Syracuse,71.0,34.0,33.1,3.9,8.2,0.47600000000000003,2.5,4.8,0.531,1.4,3.5,0.4,2.4,2.9,0.809,2.0,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,9.11
2176,Lauri Markkanen,Arizona,37.0,37.0,30.8,5.0,10.2,0.49200000000000005,3.1,5.8,0.545,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,7.63
2177,Frank Mason,Kansas,145.0,113.0,30.0,4.2,9.2,0.45399999999999996,2.9,6.2,0.47100000000000003,1.3,3.0,0.42,3.3,4.4,0.7609999999999999,0.5,2.9,3.4,4.0,1.1,0.1,1.9,2.0,13.0,11.74
2182,Malcolm Miller,Holy Cross,112.0,93.0,26.0,3.0,6.7,0.445,2.0,4.1,0.491,0.9,2.5,0.37,2.2,2.8,0.765,0.7,4.0,4.8,1.5,0.8,1.3,1.6,2.5,9.0,-3.57
2183,Donovan Mitchell,Louisville,65.0,38.0,26.0,4.1,9.8,0.418,2.6,5.2,0.49700000000000005,1.5,4.6,0.32899999999999996,2.0,2.5,0.7879999999999999,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,9.44
2184,Malik Monk,Kentucky,38.0,37.0,32.1,6.6,14.7,0.45,3.9,7.8,0.49700000000000005,2.7,6.9,0.397,3.9,4.7,0.8220000000000001,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,10.49
2185,Ben Moore,SMU,135.0,93.0,24.5,3.4,6.3,0.539,3.4,6.3,0.541,0.0,0.0,0.2,2.2,3.3,0.6629999999999999,2.2,3.5,5.8,1.8,0.8,0.9,1.4,2.3,9.0,4.39
2186,Monte Morris,Iowa State,140.0,121.0,33.8,4.5,9.5,0.47600000000000003,3.5,6.7,0.517,1.1,2.9,0.381,2.0,2.6,0.78,0.8,2.9,3.7,5.5,1.6,0.3,1.2,1.5,12.2,10.28
